# 文字コード表(Unicode UTF-8 UTF-16) [21420/21420]
# http://pentan.info/doc/unicode_list3.html
# UTF8	UTF16	S-JIS	EUC-JP	JIS	文字	実体参照
E88CA4	8324				茤	&#33572;
E88CA5	8325				茥	&#33573;
E88CA6	8326				茦	&#33574;
E88CA7	8327				茧	&#33575;
E88CA8	8328	88EF	B0F1	3071	茨	&#33576;
E88CA9	8329				茩	&#33577;
E88CAA	832A				茪	&#33578;
E88CAB	832B	E4A9	E8AB	682B	茫	&#33579;
E88CAC	832C		8FD7EA	44576A	茬	&#33580;
E88CAD	832D		8FD7EB	44576B	茭	&#33581;
E88CAE	832E		8FD7EC	44576C	茮	&#33582;
E88CAF	832F	E4A8	E8AA	682A	茯	&#33583;
E88CB0	8330		8FD7ED	44576D	茰	&#33584;
E88CB1	8331	E4A3	E8A5	6825	茱	&#33585;
E88CB2	8332	E4A2	E8A4	6824	茲	&#33586;
E88CB3	8333		8FD7EE	44576E	茳	&#33587;
E88CB4	8334	E4A0	E8A2	6822	茴	&#33588;
E88CB5	8335	E49F	E8A1	6821	茵	&#33589;
E88CB6	8336	9283	C3E3	4363	茶	&#33590;
E88CB7	8337		8FD7EF	44576F	茷	&#33591;
E88CB8	8338	91F9	C2FB	427B	茸	&#33592;
E88CB9	8339	E4A5	E8A7	6827	茹	&#33593;
E88CBA	833A		8FD7F0	445770	茺	&#33594;
E88CBB	833B				茻	&#33595;
E88CBC	833C		8FD7F1	445771	茼	&#33596;
E88CBD	833D		8FD7F2	445772	茽	&#33597;
E88CBE	833E				茾	&#33598;
E88CBF	833F				茿	&#33599;
E88D80	8340	E4A4	E8A6	6826	荀	&#33600;
E88D81	8341				荁	&#33601;
E88D82	8342		8FD7F3	445773	荂	&#33602;
E88D83	8343		8FD7F4	445774	荃	&#33603;
E88D84	8344		8FD7F5	445775	荄	&#33604;
E88D85	8345	E4A7	E8A9	6829	荅	&#33605;
E88D86	8346				荆	&#33606;
E88D87	8347		8FD7F6	445776	荇	&#33607;
E88D88	8348				荈	&#33608;
E88D89	8349	9190	C1F0	4170	草	&#33609;
E88D8A	834A	8C74	B7D5	3755	荊	&#33610;
E88D8B	834B				荋	&#33611;
E88D8C	834C				荌	&#33612;
E88D8D	834D		8FD7F7	445777	荍	&#33613;
E88D8E	834E		8FD7F8	445778	荎	&#33614;
E88D8F	834F	8960	B1C1	3141	荏	&#33615;
E88D90	8350	E4A6	E8A8	6828	荐	&#33616;
E88D91	8351		8FD7F9	445779	荑	&#33617;
E88D92	8352	8D72	B9D3	3953	荒	&#33618;
E88D93	8353		8FD8BE	44583E	荓	&#33619;
E88D94	8354		8FD7E3	445763	荔	&#33620;
E88D95	8355		8FD7FA	44577A	荕	&#33621;
E88D96	8356		8FD7FB	44577B	荖	&#33622;
E88D97	8357		8FD7FC	44577C	荗	&#33623;
E88D98	8358	9191	C1F1	4171	荘	&#33624;
E88D99	8359				荙	&#33625;
E88D9A	835A				荚	&#33626;
E88D9B	835B				荛	&#33627;
E88D9C	835C				荜	&#33628;
E88D9D	835D				荝	&#33629;
E88D9E	835E				荞	&#33630;
E88D9F	835F				荟	&#33631;
E88DA0	8360				荠	&#33632;
E88DA1	8361				荡	&#33633;
E88DA2	8362	FB94	FBD8		荢	&#33634;
E88DA3	8363				荣	&#33635;
E88DA4	8364				荤	&#33636;
E88DA5	8365				荥	&#33637;
E88DA6	8366				荦	&#33638;
E88DA7	8367				荧	&#33639;
E88DA8	8368				荨	&#33640;
E88DA9	8369				荩	&#33641;
E88DAA	836A				荪	&#33642;
E88DAB	836B				荫	&#33643;
E88DAC	836C				荬	&#33644;
E88DAD	836D				荭	&#33645;
E88DAE	836E				荮	&#33646;
E88DAF	836F				药	&#33647;
E88DB0	8370		8FD7FD	44577D	荰	&#33648;
E88DB1	8371				荱	&#33649;
E88DB2	8372				荲	&#33650;
E88DB3	8373	E4B8	E8BA	683A	荳	&#33651;
E88DB4	8374				荴	&#33652;
E88DB5	8375	E4B9	E8BB	683B	荵	&#33653;
E88DB6	8376				荶	&#33654;
E88DB7	8377	89D7	B2D9	3259	荷	&#33655;
E88DB8	8378		8FD7FE	44577E	荸	&#33656;
E88DB9	8379				荹	&#33657;
E88DBA	837A				荺	&#33658;
E88DBB	837B	89AC	B2AE	322E	荻	&#33659;
E88DBC	837C	E4B6	E8B8	6838	荼	&#33660;
E88DBD	837D		8FD8A1	445821	荽	&#33661;
E88DBE	837E				荾	&#33662;
E88DBF	837F	FB95	FBD9	445822	荿	&#33663;
E88E80	8380		8FD8A3	445823	莀	&#33664;
E88E81	8381				莁	&#33665;
E88E82	8382		8FD8A4	445824	莂	&#33666;
E88E83	8383				莃	&#33667;
E88E84	8384		8FD8A5	445825	莄	&#33668;
E88E85	8385	E4AC	E8AE	682E	莅	&#33669;
E88E86	8386		8FD8A6	445826	莆	&#33670;
E88E87	8387	E4B4	E8B6	6836	莇	&#33671;
E88E88	8388				莈	&#33672;
E88E89	8389	E4BB	E8BD	683D	莉	&#33673;
E88E8A	838A	E4B5	E8B7	6837	莊	&#33674;
E88E8B	838B				莋	&#33675;
E88E8C	838C				莌	&#33676;
E88E8D	838D		8FD8A7	445827	莍	&#33677;
E88E8E	838E	E4B3	E8B5	6835	莎	&#33678;
E88E8F	838F				莏	&#33679;
E88E90	8390				莐	&#33680;
E88E91	8391				莑	&#33681;
E88E92	8392		8FD8A8	445828	莒	&#33682;
E88E93	8393	E496	E7F6	6776	莓	&#33683;
E88E94	8394		8FD8A9	445829	莔	&#33684;
E88E95	8395		8FD8AA	44582A	莕	&#33685;
E88E96	8396	E4B1	E8B3	6833	莖	&#33686;
E88E97	8397				莗	&#33687;
E88E98	8398		8FD8AB	44582B	莘	&#33688;
E88E99	8399		8FD8AC	44582C	莙	&#33689;
E88E9A	839A	E4AD	E8AF	682F	莚	&#33690;
E88E9B	839B		8FD8AD	44582D	莛	&#33691;
E88E9C	839C		8FD8AE	44582E	莜	&#33692;
E88E9D	839D		8FD8AF	44582F	莝	&#33693;
E88E9E	839E	8ACE	B4D0	3450	莞	&#33694;
E88E9F	839F	E4AF	E8B1	6831	莟	&#33695;
E88EA0	83A0	E4BA	E8BC	683C	莠	&#33696;
E88EA1	83A1				莡	&#33697;
E88EA2	83A2	E4B0	E8B2	6832	莢	&#33698;
E88EA3	83A3				莣	&#33699;
E88EA4	83A4				莤	&#33700;
E88EA5	83A5				莥	&#33701;
E88EA6	83A6		8FD8B0	445830	莦	&#33702;
E88EA7	83A7		8FD8B1	445831	莧	&#33703;
E88EA8	83A8	E4BC	E8BE	683E	莨	&#33704;
E88EA9	83A9		8FD8B2	445832	莩	&#33705;
E88EAA	83AA	E4AE	E8B0	6830	莪	&#33706;
E88EAB	83AB	949C	C7FC	477C	莫	&#33707;
E88EAC	83AC		8FD8B3	445833	莬	&#33708;
E88EAD	83AD		8FD8CC	44584C	莭	&#33709;
E88EAE	83AE				莮	&#33710;
E88EAF	83AF				莯	&#33711;
E88EB0	83B0				莰	&#33712;
E88EB1	83B1	9789	CDE9	4D69	莱	&#33713;
E88EB2	83B2				莲	&#33714;
E88EB3	83B3				莳	&#33715;
E88EB4	83B4				莴	&#33716;
E88EB5	83B5	E4B7	E8B9	6839	莵	&#33717;
E88EB6	83B6				莶	&#33718;
E88EB7	83B7				获	&#33719;
E88EB8	83B8				莸	&#33720;
E88EB9	83B9				莹	&#33721;
E88EBA	83BA				莺	&#33722;
E88EBB	83BB				莻	&#33723;
E88EBC	83BC				莼	&#33724;
E88EBD	83BD	E4CD	E8CF	684F	莽	&#33725;
E88EBE	83BE		8FD8B4	445834	莾	&#33726;
E88EBF	83BF		8FD8B5	445835	莿	&#33727;
E88F80	83C0		8FD8B6	445836	菀	&#33728;
E88F81	83C1	E4C5	E8C7	6847	菁	&#33729;
E88F82	83C2				菂	&#33730;
E88F83	83C3				菃	&#33731;
E88F84	83C4				菄	&#33732;
E88F85	83C5	909B	BFFB	3F7B	菅	&#33733;
E88F86	83C6				菆	&#33734;
E88F87	83C7	FB96	FBDA	445837	菇	&#33735;
E88F88	83C8				菈	&#33736;
E88F89	83C9		8FD8B8	445838	菉	&#33737;
E88F8A	83CA	8B65	B5C6	3546	菊	&#33738;
E88F8B	83CB				菋	&#33739;
E88F8C	83CC	8BDB	B6DD	365D	菌	&#33740;
E88F8D	83CD				菍	&#33741;
E88F8E	83CE	E4C0	E8C2	6842	菎	&#33742;
E88F8F	83CF		8FD8B9	445839	菏	&#33743;
E88F90	83D0		8FD8BA	44583A	菐	&#33744;
E88F91	83D1		8FD8BB	44583B	菑	&#33745;
E88F92	83D2				菒	&#33746;
E88F93	83D3	89D9	B2DB	325B	菓	&#33747;
E88F94	83D4		8FD8BC	44583C	菔	&#33748;
E88F95	83D5				菕	&#33749;
E88F96	83D6	8FD2	BED4	3E54	菖	&#33750;
E88F97	83D7				菗	&#33751;
E88F98	83D8	E4C3	E8C5	6845	菘	&#33752;
E88F99	83D9				菙	&#33753;
E88F9A	83DA				菚	&#33754;
E88F9B	83DB				菛	&#33755;
E88F9C	83DC	8DD8	BADA	3A5A	菜	&#33756;
E88F9D	83DD		8FD8BD	44583D	菝	&#33757;
E88F9E	83DE				菞	&#33758;
E88F9F	83DF	9370	C5D1	4551	菟	&#33759;
E88FA0	83E0	E4C8	E8CA	684A	菠	&#33760;
E88FA1	83E1				菡	&#33761;
E88FA2	83E2				菢	&#33762;
E88FA3	83E3				菣	&#33763;
E88FA4	83E4				菤	&#33764;
E88FA5	83E5				菥	&#33765;
E88FA6	83E6				菦	&#33766;
E88FA7	83E7				菧	&#33767;
E88FA8	83E8		8FD8BF	44583F	菨	&#33768;
E88FA9	83E9	95EC	CAEE	4A6E	菩	&#33769;
E88FAA	83EA		8FD8C0	445840	菪	&#33770;
E88FAB	83EB	E4BF	E8C1	6841	菫	&#33771;
E88FAC	83EC				菬	&#33772;
E88FAD	83ED				菭	&#33773;
E88FAE	83EE				菮	&#33774;
E88FAF	83EF	89D8	B2DA	325A	華	&#33775;
E88FB0	83F0	8CD4	B8D6	3856	菰	&#33776;
E88FB1	83F1	9548	C9A9	4929	菱	&#33777;
E88FB2	83F2	E4C9	E8CB	684B	菲	&#33778;
E88FB3	83F3				菳	&#33779;
E88FB4	83F4	E4BD	E8BF	683F	菴	&#33780;
E88FB5	83F5				菵	&#33781;
E88FB6	83F6	FB97	FBDB	445841	菶	&#33782;
E88FB7	83F7	E4C6	E8C8	6848	菷	&#33783;
E88FB8	83F8		8FD8C2	445842	菸	&#33784;
E88FB9	83F9		8FD8C3	445843	菹	&#33785;
E88FBA	83FA				菺	&#33786;
E88FBB	83FB	E4D0	E8D2	6852	菻	&#33787;
E88FBC	83FC		8FD8C4	445844	菼	&#33788;
E88FBD	83FD	E4C1	E8C3	6843	菽	&#33789;
E88FBE	83FE				菾	&#33790;
E88FBF	83FF				菿	&#33791;
E89080	8400				萀	&#33792;
E89081	8401		8FD8C5	445845	萁	&#33793;
E89082	8402				萂	&#33794;
E89083	8403	E4C2	E8C4	6844	萃	&#33795;
E89084	8404	93B8	C6BA	463A	萄	&#33796;
E89085	8405				萅	&#33797;
E89086	8406		8FD8C6	445846	萆	&#33798;
E89087	8407	E4C7	E8C9	6849	萇	&#33799;
E89088	8408				萈	&#33800;
E89089	8409				萉	&#33801;
E8908A	840A		8FD8C7	445847	萊	&#33802;
E8908B	840B	E4C4	E8C6	6846	萋	&#33803;
E8908C	840C	9647	CBA8	4B28	萌	&#33804;
E8908D	840D	E4CA	E8CC	684C	萍	&#33805;
E8908E	840E	88DE	B0E0	3060	萎	&#33806;
E8908F	840F		8FD8C8	445848	萏	&#33807;
E89090	8410				萐	&#33808;
E89091	8411		8FD8C9	445849	萑	&#33809;
E89092	8412				萒	&#33810;
E89093	8413	E4BE	E8C0	6840	萓	&#33811;
E89094	8414				萔	&#33812;
E89095	8415		8FD8CA	44584A	萕	&#33813;
E89096	8416				萖	&#33814;
E89097	8417				萗	&#33815;
E89098	8418				萘	&#33816;
