# 文字コード表(Unicode UTF-8 UTF-16) [7000/21420]
# http://pentan.info/doc/unicode_list.html
# UTF8	UTF16	S-JIS	EUC-JP	JIS	文字	実体参照
C2A7	A7	8198	A1F8	2178	§	 &#167;
C2A8	A8	814E	A1AF	212F	¨	 &#168;
C2B0	B0	818B	A1EB	216B	°	 &#176;
C2B1	B1	817D	A1DE	215E	±	 &#177;
C2B4	B4	814C	A1AD	212D	´	 &#180;
C2B6	B6	81F7	A2F9	2279	¶	 &#182;
C397	D7	817E	A1DF	215F	×	 &#215;
C3B7	F7	8180	A1E0	2160	÷	 &#247;
E28090	2010	815D	A1BE	213E	‐	 &#8208;
E28095	2015	815C	A1BD	213D	―	 &#8213;
E28098	2018	8165	A1C6	2146	‘	 &#8216;
E28099	2019	8166	A1C7	2147	’	 &#8217;
E2809C	201C	8167	A1C8	2148	“	 &#8220;
E2809D	201D	8168	A1C9	2149	”	 &#8221;
E280A0	2020	81F5	A2F7	2277	†	 &#8224;
E280A1	2021	81F6	A2F8	2278	‡	 &#8225;
E280A5	2025	8164	A1C5	2145	‥	 &#8229;
E280A6	2026	8163	A1C4	2144	…	 &#8230;
E280B0	2030	81F1	A2F3	2273	‰	 &#8240;
E280B2	2032	818C	A1EC	216C	′	 &#8242;
E280B3	2033	818D	A1ED	216D	″	 &#8243;
E280BB	203B	81A6	A2A8	2228	※	 &#8251;
E28483	2103	818E	A1EE	216E	℃	 &#8451;
E28496	2116	8782	ADE2	442271	№	 &#8470;
E284A1	2121	8784	ADE4		℡	 &#8481;
E284AB	212B	81F0	A2F2	2272	Å	 &#8491;
E285A0	2160	8754	ADB5		Ⅰ	 &#8544;
E285A1	2161	8755	ADB6		Ⅱ	 &#8545;
E285A2	2162	8756	ADB7		Ⅲ	 &#8546;
E285A3	2163	8757	ADB8		Ⅳ	 &#8547;
E285A4	2164	8758	ADB9		Ⅴ	 &#8548;
E285A5	2165	8759	ADBA		Ⅵ	 &#8549;
E285A6	2166	875A	ADBB		Ⅶ	 &#8550;
E285A7	2167	875B	ADBC		Ⅷ	 &#8551;
E285A8	2168	875C	ADBD		Ⅸ	 &#8552;
E285A9	2169	875D	ADBE		Ⅹ	 &#8553;
E285B0	2170	FA40	FCF1		ⅰ	 &#8560;
E285B1	2171	FA41	FCF2		ⅱ	 &#8561;
E285B2	2172	FA42	FCF3		ⅲ	 &#8562;
E285B3	2173	FA43	FCF4		ⅳ	 &#8563;
E285B4	2174	FA44	FCF5		ⅴ	 &#8564;
E285B5	2175	FA45	FCF6		ⅵ	 &#8565;
E285B6	2176	FA46	FCF7		ⅶ	 &#8566;
E285B7	2177	FA47	FCF8		ⅷ	 &#8567;
E285B8	2178	FA48	FCF9		ⅸ	 &#8568;
E285B9	2179	FA49	FCFA		ⅹ	 &#8569;
E28690	2190	81A9	A2AB	222B	←	 &#8592;
E28691	2191	81AA	A2AC	222C	↑	 &#8593;
E28692	2192	81A8	A2AA	222A	→	 &#8594;
E28693	2193	81AB	A2AD	222D	↓	 &#8595;
E28792	21D2	81CB	A2CD	224D	⇒	 &#8658;
E28794	21D4	81CC	A2CE	224E	⇔	 &#8660;
E28880	2200	81CD	A2CF	224F	∀	 &#8704;
E28882	2202	81DD	A2DF	225F	∂	 &#8706;
E28883	2203	81CE	A2D0	2250	∃	 &#8707;
E28887	2207	81DE	A2E0	2260	∇	 &#8711;
E28888	2208	81B8	A2BA	223A	∈	 &#8712;
E2888B	220B	81B9	A2BB	223B	∋	 &#8715;
E28891	2211	8794	ADF4		∑	 &#8721;
E2889A	221A	81E3	A2E5	2265	√	 &#8730;
E2889D	221D	81E5	A2E7	2267	∝	 &#8733;
E2889E	221E	8187	A1E7	2167	∞	 &#8734;
E2889F	221F	8798	ADF8		∟	 &#8735;
E288A0	2220	81DA	A2DC	225C	∠	 &#8736;
E288A5	2225	8161	A1C2	2142	∥	 &#8741;
E288A7	2227	81C8	A2CA	224A	∧	 &#8743;
E288A8	2228	81C9	A2CB	224B	∨	 &#8744;
E288A9	2229	81BF	A2C1	2241	∩	 &#8745;
E288AA	222A	81BE	A2C0	2240	∪	 &#8746;
E288AB	222B	81E7	A2E9	2269	∫	 &#8747;
E288AC	222C	81E8	A2EA	226A	∬	 &#8748;
E288AE	222E	8793	ADF3		∮	 &#8750;
E288B4	2234	8188	A1E8	2168	∴	 &#8756;
E288B5	2235	81E6	A2E8	2268	∵	 &#8757;
E288BD	223D	81E4	A2E6	2266	∽	 &#8765;
E28992	2252	81E0	A2E2	2262	≒	 &#8786;
E289A0	2260	8182	A1E2	2162	≠	 &#8800;
E289A1	2261	81DF	A2E1	2261	≡	 &#8801;
E289A6	2266	8185	A1E5	2165	≦	 &#8806;
E289A7	2267	8186	A1E6	2166	≧	 &#8807;
E289AA	226A	81E1	A2E3	2263	≪	 &#8810;
E289AB	226B	81E2	A2E4	2264	≫	 &#8811;
E28A82	2282	81BC	A2BE	223E	⊂	 &#8834;
E28A83	2283	81BD	A2BF	223F	⊃	 &#8835;
E28A86	2286	81BA	A2BC	223C	⊆	 &#8838;
E28A87	2287	81BB	A2BD	223D	⊇	 &#8839;
E28AA5	22A5	81DB	A2DD	225D	⊥	 &#8869;
E28ABF	22BF	8799	ADF9		⊿	 &#8895;
E28C92	2312	81DC	A2DE	225E	⌒	 &#8978;
E291A0	2460	8740	ADA1		①	 &#9312;
E291A1	2461	8741	ADA2		②	 &#9313;
E291A2	2462	8742	ADA3		③	 &#9314;
E291A3	2463	8743	ADA4		④	 &#9315;
E291A4	2464	8744	ADA5		⑤	 &#9316;
E291A5	2465	8745	ADA6		⑥	 &#9317;
E291A6	2466	8746	ADA7		⑦	 &#9318;
E291A7	2467	8747	ADA8		⑧	 &#9319;
E291A8	2468	8748	ADA9		⑨	 &#9320;
E291A9	2469	8749	ADAA		⑩	 &#9321;
E291AA	246A	874A	ADAB		⑪	 &#9322;
E291AB	246B	874B	ADAC		⑫	 &#9323;
E291AC	246C	874C	ADAD		⑬	 &#9324;
E291AD	246D	874D	ADAE		⑭	 &#9325;
